id|title|starring|writer|editor|aggregate value
10177||Andrew Ross<BR />Kenny Brennan<BR/>Billy Jayne<BR/>Jewel Shepard<BR/>April Wayne|Paul Brown||Andrew Ross<BR />Kenny Brennan<BR/>Billy Jayne<BR/>Jewel Shepard<BR/>April Wayne Paul Brown
10178||Corey Ian Haim|David DeFalco||Corey Ian Haim David DeFalco
10179|Viaggio in Italia|Ingrid Bergman|Roberto Rossellini||Viaggio in Italia Ingrid Bergman Roberto Rossellini
10180||Ramesh Khanna|||Ramesh Khanna
10181|Blood on Wolf Mountain|Jiang Qing|Fei Mu||Blood on Wolf Mountain Jiang Qing Fei Mu
10182||Ernest Frederick McIntyre Bickel|Elmore Leonard||Ernest Frederick McIntyre Bickel Elmore Leonard
10183||Ruby Catherine Stevens|Chester Erskine||Ruby Catherine Stevens Chester Erskine
10184|The Pope of Greenwich Village|Daryl Christine Hannah|Vincent Patrick||The Pope of Greenwich Village Daryl Christine Hannah Vincent Patrick
10185|When Zachary Beaver Came to Town|Jonathan William Lipnicki|Kimberly Willis Holt||When Zachary Beaver Came to Town Jonathan William Lipnicki Kimberly Willis Holt
10186|Closing the Ring|Arthur Christopher Orme Plummer|Peter Woodward||Closing the Ring Arthur Christopher Orme Plummer Peter Woodward
10187|The Fury|Issur Danielovitch|John Farris||The Fury Issur Danielovitch John Farris
10188|A Fool There Was|Mabel Paige|Frank Griffin||A Fool There Was Mabel Paige Frank Griffin
10189||Billy Connolly|Stephen Metcalfe||Billy Connolly Stephen Metcalfe
10190||Jaya Bhaduri|Preeti Bedi||Jaya Bhaduri Preeti Bedi
10191|When Night Falls|Kevin Keys|Alex Galvin||When Night Falls Kevin Keys Alex Galvin
10192||Gao Yuanyuan|Yang Qianling||Gao Yuanyuan Yang Qianling
10193|Boy Culture|Darryl Stephens|Q. Allan Brocka Philip Pierce Matthew Rettenmund||Boy Culture Darryl Stephens Q. Allan Brocka Philip Pierce Matthew Rettenmund
10194|Ashok|Sonu Sood|Gopimohan||Ashok Sonu Sood Gopimohan
10195|Cheetah|Keith Coogan|Erik Tarloff||Cheetah Keith Coogan Erik Tarloff
10196|Diary|Luisa Leong Leong Lok-Iu (u6881u6A02u7464)|Oxide Pang Thomas Pang||Diary Luisa Leong Leong Lok-Iu (u6881u6A02u7464) Oxide Pang Thomas Pang
10197|Monster from Green Hell|Robert E. Griffin|Louis Vittes||Monster from Green Hell Robert E. Griffin Louis Vittes
10198|||Jos? A. Ferreyra||Jos? A. Ferreyra
10199|The Duchess|Ralph Nathaniel Twisleton-Wykeham Fiennes|Amanda Foreman (biographer)||The Duchess Ralph Nathaniel Twisleton-Wykeham Fiennes Amanda Foreman (biographer)
10200|A Nest Unfeathered|Henry DeWitt Carey II|Minnie Krakauer||A Nest Unfeathered Henry DeWitt Carey II Minnie Krakauer
10201||Alfred Ntombela|Leon Schuster||Alfred Ntombela Leon Schuster
10202|Grace Quigley|Nicholas King Nolte|||Grace Quigley Nicholas King Nolte
10203||Phil Vischer|||Phil Vischer
10204||Abelardo Dennis Florencio Ho|Don Michael Perez||Abelardo Dennis Florencio Ho Don Michael Perez
10205||Mark Anthony McDermott|Gurinder Chadha||Mark Anthony McDermott Gurinder Chadha
10206|Love Me Tender|Debralee Griffin|Robert Buckner||Love Me Tender Debralee Griffin Robert Buckner
10207|Ripper|Bruce Martyn Payne|John A. Curtis   Evan Tylor||Ripper Bruce Martyn Payne John A. Curtis   Evan Tylor
10208|The Lake House|Sandra Annette Bullock|David Auburn||The Lake House Sandra Annette Bullock David Auburn
10209|Unhinged|Laurel Munson|Don Gronquist Reagan Ramsey||Unhinged Laurel Munson Don Gronquist Reagan Ramsey
10210||Ethel Rojo|Adriano Bolzoni||Ethel Rojo Adriano Bolzoni
10211||Bruce Gray|John Benjamin Martin||Bruce Gray John Benjamin Martin
10212|Oscar Wilde|Phyllis Hannah Bickle|Jo Eisinger||Oscar Wilde Phyllis Hannah Bickle Jo Eisinger
10213|Serial (film)|Charles Middleton|Wellyn Totman||Serial (film) Charles Middleton Wellyn Totman
10214||Emraan Hashmi|Aaditya Datt||Emraan Hashmi Aaditya Datt
10215|Yeah Right!||||Yeah Right!
10216|Serial (film)||||Serial (film)
10217|Spiel im Sand||Werner Herzog||Spiel im Sand  Werner Herzog
10218|Live from Baghdad|Bruce McGill|Richard Chapman (writer)||Live from Baghdad Bruce McGill Richard Chapman (writer)
10219|For Better, for Worse|Elliott Dexter|Edgar Selwyn||For Better, for Worse Elliott Dexter Edgar Selwyn
10220|Basket Case 2|Kevin Van Hentenryck|Frank Henenlotter||Basket Case 2 Kevin Van Hentenryck Frank Henenlotter
10221|Wild Women|Henry DeWitt Carey II|Henry DeWitt Carey II||Wild Women Henry DeWitt Carey II Henry DeWitt Carey II
10222||Jyothika|Kasi Vishwanathan||Jyothika Kasi Vishwanathan
10223||Shirley Jane Temple|Paul Girard Smith||Shirley Jane Temple Paul Girard Smith
10224|Dead & Buried|James Farentino|Jeff Millar||Dead & Buried James Farentino Jeff Millar
10225|L'imperatore di Capri|Tot?|Gino De Santis||L'imperatore di Capri Tot? Gino De Santis
10226|That's Entertainment!|Frederick Austerlitz Jr.|Jack Haley Jr.||That's Entertainment! Frederick Austerlitz Jr. Jack Haley Jr.
10227|Street Angel|Zhao Feng'ao|Yuan Muzhi||Street Angel Zhao Feng'ao Yuan Muzhi
10228||Garry McCoy|||Garry McCoy
10229||Kamal Haasan|||Kamal Haasan
10230|Enchanted April|Miranda Jane Richardson|Peter Barnes||Enchanted April Miranda Jane Richardson Peter Barnes
10231|Night World|Lewis Frederick Ayre III|||Night World Lewis Frederick Ayre III
10232||Mala Powers|Steve Fisher||Mala Powers Steve Fisher
10233|The Dream Girl|Marie Adrienne Koenig|Jeanie MacPherson||The Dream Girl Marie Adrienne Koenig Jeanie MacPherson
10234|Serial (film)||Basil Dickey||Serial (film)  Basil Dickey
10235||Kamal Haasan|||Kamal Haasan
10236||Lloyd Vernet Bridges III|Rebecca Gilman||Lloyd Vernet Bridges III Rebecca Gilman
10237||Giancarlo Giannini|Giacomo Campiotti||Giancarlo Giannini Giacomo Campiotti
10238|El inquilino|Manuel Alexandre|Jos? Mar?a P?rez Lozano||El inquilino Manuel Alexandre Jos? Mar?a P?rez Lozano
10239||Rajnikanth|||Rajnikanth
10240||Alan Alda|Randy Shilts||Alan Alda Randy Shilts
10241||Joel Solomon Cohen|Norman Hudis||Joel Solomon Cohen Norman Hudis
10242|The Howards of Virginia|Archibald Alec Leach|Elizabeth Page||The Howards of Virginia Archibald Alec Leach Elizabeth Page
10243|Arnold's Wrecking Co.||||Arnold's Wrecking Co.
10244|Amarcord|Magali Noel|Federico Fellini||Amarcord Magali Noel Federico Fellini
10245|Golden Globe Award for Best Foreign Language Film|Kais Nashef|Bero Beyer||Golden Globe Award for Best Foreign Language Film Kais Nashef Bero Beyer
10246||Enrico Lo Verso|Didier Decoin||Enrico Lo Verso Didier Decoin
10247|Zombie Holocaust|Ian McCulloch|Fabrizio De Angelis   Romano Scandariato||Zombie Holocaust Ian McCulloch Fabrizio De Angelis   Romano Scandariato
10248||Koji Tsuruta|K?go Noda||Koji Tsuruta K?go Noda
10249||Karishma Kapoor|||Karishma Kapoor
10250|Yamato|Shido Nakamura|Junya Sato||Yamato Shido Nakamura Junya Sato
10251|Mercy|Maura Lynn Tierney|Richard Shepard||Mercy Maura Lynn Tierney Richard Shepard
10252||Yvette Carmen Mimieux|George Wells (screenwriter)||Yvette Carmen Mimieux George Wells (screenwriter)
10253||Momoe Yamaguchi|Teinosuke Kinugasa 	Katsumi Nishikawa||Momoe Yamaguchi Teinosuke Kinugasa 	Katsumi Nishikawa
10254|||E.T.A. Hoffman||E.T.A. Hoffman
10255||William Forsythe|Roy Frumkes   Rocco Simonelli||William Forsythe Roy Frumkes   Rocco Simonelli
10256|Saturn 3|Roy Dotrice|Martin Amis||Saturn 3 Roy Dotrice Martin Amis
10257||Vera Jayne Palmer|||Vera Jayne Palmer
10258||Bernard Menez|Alain Godard||Bernard Menez Alain Godard
10259|Puisi Tak Terkuburkan|Ibrahim Kadir|Nana Mulyana||Puisi Tak Terkuburkan Ibrahim Kadir Nana Mulyana
10260|Jednu00E9 noci v jednom mu011Bstu011B||Ivan Arsenjev||Jednu00E9 noci v jednom mu011Bstu011B  Ivan Arsenjev
10261|Balada para un mochilero||Norberto Aroldi||Balada para un mochilero  Norberto Aroldi
10262||Goldie|Andrew Goth||Goldie Andrew Goth
10263||Lee Seung-yeon|Kim Ki-duk||Lee Seung-yeon Kim Ki-duk
10264|Face of the Screaming Werewolf|Creighton Tull Chaney|Fernando de Fuentes Gilberto Martu00EDnez Solares Alfredo Salazar Jerry Warren||Face of the Screaming Werewolf Creighton Tull Chaney Fernando de Fuentes Gilberto Martu00EDnez Solares Alfredo Salazar Jerry Warren
10265||Elizabeth Allan (English actress)|Charles Dickens||Elizabeth Allan (English actress) Charles Dickens
10266|Nothing Else Matters|Hugh E. Wright|George Pearson||Nothing Else Matters Hugh E. Wright George Pearson
10267|The Earrings of Madame De...|Charles Boyer|Louise de Vilmorin||The Earrings of Madame De... Charles Boyer Louise de Vilmorin
10268||Kristina Sundar Hansen|?g?st Gu?mundsson||Kristina Sundar Hansen ?g?st Gu?mundsson
10269||Laura Morante|||Laura Morante
10270||Kathryn Hays|Joel Oliansky||Kathryn Hays Joel Oliansky
10271|Syndromes and a Century|Nantarat Sawaddikul Jaruchai Iamaram Sophon Pukanok Jenjira Pongpas|Apichatpong Weerasethakul||Syndromes and a Century Nantarat Sawaddikul Jaruchai Iamaram Sophon Pukanok Jenjira Pongpas Apichatpong Weerasethakul
10272||Sofia Villani Scicolone|Frederick Nolan||Sofia Villani Scicolone Frederick Nolan
10273|One False Move|Billy Bob Thornton|Billy Bob Thornton||One False Move Billy Bob Thornton Billy Bob Thornton
10274|||Thierry Michel||Thierry Michel
10275|Soba|Claudia Sober?n|Alan Coton||Soba Claudia Sober?n Alan Coton
10276||Dominick DeLuise|Unknown||Dominick DeLuise Unknown
10277||Maria de Medeiros|||Maria de Medeiros
10278|The Gnome-Mobile|Karen Dotrice|Ellis Kadison||The Gnome-Mobile Karen Dotrice Ellis Kadison
10279||John Arthur Kennedy|Roy Huggins||John Arthur Kennedy Roy Huggins
10280|Highlander: The Source|Adrian Paul Hewett|Mark Bradley||Highlander: The Source Adrian Paul Hewett Mark Bradley
10281||Ronald Coleman|||Ronald Coleman
10282|The Saint in Palm Springs|Marguerite Wendy Jenkins|Jerome Cady||The Saint in Palm Springs Marguerite Wendy Jenkins Jerome Cady
10283|Dodsworth|Ruth Chatterton|Sinclair Lewis|Daniel Mandell|Dodsworth Ruth Chatterton Sinclair Lewis Daniel Mandell
10284|Ultimate Avengers|Fred Tatasciore|Boyd Kirkland||Ultimate Avengers Fred Tatasciore Boyd Kirkland
10285|Friendly Persuasion|Peter Mark Richman|Michael Wilson (writer)||Friendly Persuasion Peter Mark Richman Michael Wilson (writer)
10286|The Claim|Wes Bentley|Frank Cottrell Boyce||The Claim Wes Bentley Frank Cottrell Boyce
10287|Sitting Target|Ian McShane|Alexander Jacobs||Sitting Target Ian McShane Alexander Jacobs
10288|Charlie Ve'hetzi|Yehuda Barkan|Eli Tavor||Charlie Ve'hetzi Yehuda Barkan Eli Tavor
10289|Freejack|Mick Jagger|Robert Sheckley||Freejack Mick Jagger Robert Sheckley
10290|D.A.R.Y.L.|Mary Beth Hurt|Allan Scott (screenwriter)||D.A.R.Y.L. Mary Beth Hurt Allan Scott (screenwriter)
10291||Mumtaz Begum Jehan Dehlavi|Kidar Nath Sharma||Mumtaz Begum Jehan Dehlavi Kidar Nath Sharma
10292||Cybill Lynne Shepherd|Peter Bogdanovich||Cybill Lynne Shepherd Peter Bogdanovich
10293||Manivannan|Sundar C||Manivannan Sundar C
10294|When Dreams Come True|Roscoe Arbuckle|||When Dreams Come True Roscoe Arbuckle
10295|Species II|Mary Marg Helgenberger|Chris Brancato||Species II Mary Marg Helgenberger Chris Brancato
10296||Robert Peter Cohon|William Butler Aaron Strongoni||Robert Peter Cohon William Butler Aaron Strongoni
10297|Easy Living|Gladys Georgianna Greene|Preston Sturges||Easy Living Gladys Georgianna Greene Preston Sturges
10298|Time Bandits|David Stephen Rappaport|Terence Vance Gilliam||Time Bandits David Stephen Rappaport Terence Vance Gilliam
10299||Martin Lavut|||Martin Lavut
10300|Pipo en de p-p-Parelridder||||Pipo en de p-p-Parelridder
10301|Society|William Alan Leming|Woody Keith||Society William Alan Leming Woody Keith
10302|Star Theatre||||Star Theatre
10303|Columbia Pictures||||Columbia Pictures
10304||Jack Carlisle III|Matthew Jason Walsh||Jack Carlisle III Matthew Jason Walsh
10305|Bullfighter and the Lady|Joy Page|Budd Boetticher||Bullfighter and the Lady Joy Page Budd Boetticher
10306|Common Threads|Dustin Lee Hoffman|Jeffrey Friedman (filmmaker)||Common Threads Dustin Lee Hoffman Jeffrey Friedman (filmmaker)
10307||William H. Tooker|Rube Goldberg||William H. Tooker Rube Goldberg
10308||Lee Ryder|||Lee Ryder
10309|From Hand to Mouth|Harold Lloyd|H.M. Walker||From Hand to Mouth Harold Lloyd H.M. Walker
10310||Saima|Rukhsana Noor||Saima Rukhsana Noor
10311|||Kazunari Kouchi||Kazunari Kouchi
10312|Friday Night Lights|Billy Bob Thornton|David Aaron Cohen||Friday Night Lights Billy Bob Thornton David Aaron Cohen
10313||Lewis Fiander|Juan Jos? Plans||Lewis Fiander Juan Jos? Plans
10314|The Girl|Sandra Nkake|Monique Wittig||The Girl Sandra Nkake Monique Wittig
10315|That Ragtime Band|Roscoe Arbuckle|||That Ragtime Band Roscoe Arbuckle
10316|Grand Prix (Cannes Film Festival)|Ittoku Kishibe|Toshio Shimao||Grand Prix (Cannes Film Festival) Ittoku Kishibe Toshio Shimao
10317||Bipasha Basu|||Bipasha Basu
10318|Ankur|Priya Tendulkar|Satyadev Dubey||Ankur Priya Tendulkar Satyadev Dubey
10319|A Room for Romeo Brass|Darren O. Campbell|Shane Meadows||A Room for Romeo Brass Darren O. Campbell Shane Meadows
10320|Born Reckless|Edmund Lowe|Louis Beretti||Born Reckless Edmund Lowe Louis Beretti
10321|The Thin Man|Myrna Adele Williams|Dashiell Hammett||The Thin Man Myrna Adele Williams Dashiell Hammett
10322|In Oranje||||In Oranje
10323||Mel Blanc|Michael Maltese||Mel Blanc Michael Maltese
10324|The Werewolf of Woodstock||||The Werewolf of Woodstock
10325|Bullet Proof|Henry DeWitt Carey II|Lynn Reynolds||Bullet Proof Henry DeWitt Carey II Lynn Reynolds
10326||Lester Matthews|Edgar Allan Poe (poem) David Boehm (screenplay)||Lester Matthews Edgar Allan Poe (poem) David Boehm (screenplay)
10327||William Henry Pratt|John Colton||William Henry Pratt John Colton
10328||James Howard Woods|James B. Harris||James Howard Woods James B. Harris
10329||Mark Richard Hamill|David Himmelstein||Mark Richard Hamill David Himmelstein
10330|Sheng shi chuan shuo||Chris Huang||Sheng shi chuan shuo  Chris Huang
10331||Deborah Odell|Sue Miller||Deborah Odell Sue Miller
10332||Thelma Todd|||Thelma Todd
10333|Under Wraps|Adam Wylie|Don Rhymer||Under Wraps Adam Wylie Don Rhymer
10334||Robert Loggia|Steven Lisberger||Robert Loggia Steven Lisberger
10335||Masaya Oki|Ryuzo Nakanishi||Masaya Oki Ryuzo Nakanishi
10336|Star Trek Nemesis|#Cast|Rick Berman||Star Trek Nemesis #Cast Rick Berman
10337||Salman Khan|Rumi Jaffery||Salman Khan Rumi Jaffery
10338|Manchali|Harihar Jariwala|||Manchali Harihar Jariwala
10339||u9673u6E2Fu751F (Chan Kong Sang)|u9673u6E2Fu751F (Chan Kong Sang)||u9673u6E2Fu751F (Chan Kong Sang) u9673u6E2Fu751F (Chan Kong Sang)
10340||Stephen Adly Guirgis|Brett C. Leonard||Stephen Adly Guirgis Brett C. Leonard
10341|Madhouse|Lance Henriksen|Aaron Strongoni||Madhouse Lance Henriksen Aaron Strongoni
10342|The Legend of Boggy Creek|William Stumpp Chuck Pierce, Jr. Vern Stierman Willie E. Smith|Earl E. Smith||The Legend of Boggy Creek William Stumpp Chuck Pierce, Jr. Vern Stierman Willie E. Smith Earl E. Smith
10343||Vivian Rich|Gordon V. May||Vivian Rich Gordon V. May
10344|See No Evil, Hear No Evil|Alan North|Arne Sultan||See No Evil, Hear No Evil Alan North Arne Sultan
10345|Ruk jung|Punlapa Taylor|||Ruk jung Punlapa Taylor
10346|Dolores Claiborne|Kathleen Doyle Bates|Tony Gilroy||Dolores Claiborne Kathleen Doyle Bates Tony Gilroy
10347|Shanghai Knights|Owen Cunningham Wilson|Alfred Gough||Shanghai Knights Owen Cunningham Wilson Alfred Gough
10348||[[Rajnikanth](Chiranjeevi)]|||[[Rajnikanth](Chiranjeevi)]
10349|They Died with Their Boots On|Errol Leslie Thomson Flynn|?neas MacKenzie||They Died with Their Boots On Errol Leslie Thomson Flynn ?neas MacKenzie
10350|Danny the Dog|Morgan Freeman|Luc Besson||Danny the Dog Morgan Freeman Luc Besson
10351||Pierre Blanchar|Andru00E9 Gide (novel)||Pierre Blanchar Andru00E9 Gide (novel)
10352||Mar?a Aurelia Bisutti|Pedro Escudero||Mar?a Aurelia Bisutti Pedro Escudero
10353||William Irving (actor)|||William Irving (actor)
10354|Sea Dogs|Oliver Hardy|||Sea Dogs Oliver Hardy
10355||Lisa Ann Beley|Larry Hama||Lisa Ann Beley Larry Hama
10356||Jay Collins|Graeme Aitken||Jay Collins Graeme Aitken
10357||Barbarao|Queenae Taylor Mulvihill||Barbarao Queenae Taylor Mulvihill
10358||Prabhas|Paruchuri Brothers||Prabhas Paruchuri Brothers
10359||Ivan Mozzhukhin|Aleksandr Pushkin||Ivan Mozzhukhin Aleksandr Pushkin
10360|Kung Pow: Enter the Fist|Jennifer Tung|Steve Oedekerk||Kung Pow: Enter the Fist Jennifer Tung Steve Oedekerk
10361|Winter Days||Matsuo Bash?||Winter Days  Matsuo Bash?
10362|Love Birds|Manorama|P. Vasu||Love Birds Manorama P. Vasu
10363||Rajesh Roshan|Sachin Bhowmick||Rajesh Roshan Sachin Bhowmick
10364||Lalita Pawar|||Lalita Pawar
10365||Louise Keaton|Joseph Frank Keaton VI||Louise Keaton Joseph Frank Keaton VI
10366||Rodolfo Alfonzo Raffaelo Pierre Filibert Guglielmi di Valentina d'Antonguolla|Evelyn Greenleaf Sutherland||Rodolfo Alfonzo Raffaelo Pierre Filibert Guglielmi di Valentina d'Antonguolla Evelyn Greenleaf Sutherland
10367|The Prophecy|Viggo Peter Mortensen Jr.|Gregory Widen||The Prophecy Viggo Peter Mortensen Jr. Gregory Widen
10368||Christy Carlson Romano|Alexis Yves||Christy Carlson Romano Alexis Yves
10369||Yumi Takigawa Fumio Watanabe Emiko Yamauchi|Masahiro Kakefuda Norifumi Suzuki||Yumi Takigawa Fumio Watanabe Emiko Yamauchi Masahiro Kakefuda Norifumi Suzuki
10370|The Goat|Oliver Hardy|Louis Burstein||The Goat Oliver Hardy Louis Burstein
10371||Dimitar Buynozov|Hristo Ganev||Dimitar Buynozov Hristo Ganev
10372||Ajith Kumar|||Ajith Kumar
10373||Shaun Mark Bean|Leo Tolstoy||Shaun Mark Bean Leo Tolstoy
10374|Samson|J. Warren Kerrigan|Lorimer Johnston||Samson J. Warren Kerrigan Lorimer Johnston
10375||P.J. O'Rourke|||P.J. O'Rourke
10376||James Francis Cagney Jr.|Darryl Francis Zanuck||James Francis Cagney Jr. Darryl Francis Zanuck
10377|Boy, Did I Get a Wrong Number!|Phyllis Diller|Albert Lewin||Boy, Did I Get a Wrong Number! Phyllis Diller Albert Lewin
10378|Sometimes in April|Idrissa Elba|Raoul Peck||Sometimes in April Idrissa Elba Raoul Peck
10379|Ring of Bright Water|Bill Travers|Gavin Maxwell||Ring of Bright Water Bill Travers Gavin Maxwell
10380|The Curse of Quon Gwon||||The Curse of Quon Gwon
10381||Miyako Maeda Kakinuma Takeshi  Kiyomi Ito Ooki Hitomi|||Miyako Maeda Kakinuma Takeshi  Kiyomi Ito Ooki Hitomi
10382|Lady Chatterley's Lover|Sylvia Kristel|Christopher Wicking||Lady Chatterley's Lover Sylvia Kristel Christopher Wicking
10383|Code Unknown: Incomplete Tales of Several Journeys|Thierry Neuvic|Michael Haneke||Code Unknown: Incomplete Tales of Several Journeys Thierry Neuvic Michael Haneke
10384|The Red Mill|Marion Cecelia Dourvas|Henry Blossom||The Red Mill Marion Cecelia Dourvas Henry Blossom
10385|House on Haunted Hill|Alan Marshal (actor)|Robb White||House on Haunted Hill Alan Marshal (actor) Robb White
10386||Vijayaraj|||Vijayaraj
10387|Golden Lion|Gong Li|Chen Yuanbin||Golden Lion Gong Li Chen Yuanbin
10388|Deadline: Sirf 24 Ghante|Irfan Khan|||Deadline: Sirf 24 Ghante Irfan Khan
10389|I Love You, Alice B. Toklas|Leigh Taylor-Young|Paul Mazursky||I Love You, Alice B. Toklas Leigh Taylor-Young Paul Mazursky
10390||Elizabeth Pe?a|Dee Snider||Elizabeth Pe?a Dee Snider
10391||Lillian Diana Gish|D.W. Griffith||Lillian Diana Gish D.W. Griffith
10392|Juliet of the Spirits|Mario Pisu|Tullio Pinelli||Juliet of the Spirits Mario Pisu Tullio Pinelli
10393|Welcome|Vishwanath Patekar|||Welcome Vishwanath Patekar
10394|Supermarket Woman|Masahiko Tsugawa|Yoshihiro Ikeuchi||Supermarket Woman Masahiko Tsugawa Yoshihiro Ikeuchi
10395||Jack Whiting|Otto A. Harbach||Jack Whiting Otto A. Harbach
10396|Hunk|James Coco|Lawrence Bassoff||Hunk James Coco Lawrence Bassoff
10397|Luke Wins Ye Ladye Faire|Harold Lloyd|||Luke Wins Ye Ladye Faire Harold Lloyd
10398||Tito Alonso|Alberto Abdala||Tito Alonso Alberto Abdala
10399||Kathlyn Williams|Harold MacGrath||Kathlyn Williams Harold MacGrath
10400|House of Games|Mike Nussbaum|David Mamet||House of Games Mike Nussbaum David Mamet
