id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
3803|A Shotgun Affair||'Lori thinks she's found ''Mr. Right'' in rugged Gary Knepp. Lori's friend Lisa agrees and lures Gary into a steamy affair. Things get more complicated when Gary meets irresistible Carol. Their tryst sparks a war among friends that will end badly.|1|3||||2016-01-09||2016-01-01||||1 'Lori thinks she's found ''Mr. Right'' in rugged Gary Knepp. Lori's friend Lisa agrees and lures Gary into a steamy affair. Things get more complicated when Gary meets irresistible Carol. Their tryst sparks a war among friends that will end badly. 2016-01-09 A Shotgun Affair 2016-01-01 3
3804|Episodio 2|||2|1||||2003-01-08||2003-01-01||||2 1 Episodio 2 2003-01-08 2003-01-01
3805|Episode 3|||3|1||||1983-03-04||1983-01-01||||1 Episode 3 1983-01-01 1983-03-04 3
3806||George Bruns|||||||||||||George Bruns 2
3807|The Wedding|||29|8||||1961-05-21||1961-01-01||||1961-05-21 8 1961-01-01 29 The Wedding
3808||Televizija Sarajevo|||||||||||||Televizija Sarajevo productionCompany
3809|The Corpse-Sniffing Dog||'Over a makeup dinner with the Braudys, Larry openly ponders the question, ''''When a husband pays the check, do you have to also thank the wife?'''' Meanwhile, Jeff's return home is ruined by his allergy to the family's corpse-sniffing German Shepherd?€”but his daughter Sammy refuses to give away the dog. Concerned about his agent's welfare, Larry figures out an ingenious way to give the pooch to the Braudys, who are looking for just such a dog.|7|3||||2002-10-27||2002-01-01||||'Over a makeup dinner with the Braudys, Larry openly ponders the question, ''''When a husband pays the check, do you have to also thank the wife?'''' Meanwhile, Jeff's return home is ruined by his allergy to the family's corpse-sniffing German Shepherd?€”but his daughter Sammy refuses to give away the dog. Concerned about his agent's welfare, Larry figures out an ingenious way to give the pooch to the Braudys, who are looking for just such a dog. 2002-01-01 7 2002-10-27 The Corpse-Sniffing Dog 3
3810|Episode 1|||1|1||||1971-09-12||1971-01-01||||1 1 1971-09-12 Episode 1 1971-01-01
3811||Jon Billington|||||||||||||Jon Billington 0
3812|Im Keller|||7|1||||2012-10-30||2012-01-01||||2012-01-01 Im Keller 1 7 2012-10-30
3813||Richard Roundtree|||||||||||||2 Richard Roundtree
3814|Old English||A look at the poetry composed between the mid-seventh century and the Norman Conquest, including Julian Glover's reading of part of his own adaptation of the heroic epic Beowulf.|2|1||||1984-05-09||1984-01-01||||2 1 1984-01-01 1984-05-09 Old English A look at the poetry composed between the mid-seventh century and the Norman Conquest, including Julian Glover's reading of part of his own adaptation of the heroic epic Beowulf.
3815||David Cronnelly|||||||||||||David Cronnelly 2
3816||Silvia Alonso|||||||||||||1 Silvia Alonso
3817|?????????|||11|1||||2008-08-12||2008-01-01||||1 11 2008-08-12 ????????? 2008-01-01
3818|Episode 5|||5|1||||1971-10-10||1971-01-01||||1971-10-10 1 Episode 5 5 1971-01-01
3819|Episode 4|||4|1||||1972-02-16||1972-01-01||||Episode 4 1 1972-01-01 1972-02-16 4
3820||Viktor Alisov|||||||||||||Viktor Alisov 0
3821||Kim Hyun-joong|||||||||||||Kim Hyun-joong 2
3822|Getting Naked||Mary Jane is pitted against her idol Ronda while Niecy tries to balance her life.|2|4||||2017-01-17||2017-01-01||||2 2017-01-17 Getting Naked Mary Jane is pitted against her idol Ronda while Niecy tries to balance her life. 2017-01-01 4
3823|Latin Lover||'Latin Lover is a joint telenovela production between Venevisi?n, Iguana Producciones, and Playboy Entertainment Group. It centers around the production of a fictional telenovela, and follows the lives of the actors and production staff involved in the show, as well as other tangential characters. The show features a large main cast of at least 23 credited performers.Each episode features a number of softcore pornographic and simulated sexy scenes, commonly including full frontal and rear nudity, though rarely showing either male or female genitalia.As of July 6, 2008, Latin Lover is broadcast in Canada by Telelatino, dubbed into English. A new series called Latin Lover 2: Beauty & Ambition premiered on Telelatino Network in Spring 2009.|||0|0|||||60||PE|60 PE 0 0 en en Latin Lover false Latin Lover 'Latin Lover is a joint telenovela production between Venevisi?n, Iguana Producciones, and Playboy Entertainment Group. It centers around the production of a fictional telenovela, and follows the lives of the actors and production staff involved in the show, as well as other tangential characters. The show features a large main cast of at least 23 credited performers.Each episode features a number of softcore pornographic and simulated sexy scenes, commonly including full frontal and rear nudity, though rarely showing either male or female genitalia.As of July 6, 2008, Latin Lover is broadcast in Canada by Telelatino, dubbed into English. A new series called Latin Lover 2: Beauty & Ambition premiered on Telelatino Network in Spring 2009. Ended
3824|Hand Walk ~ Quick Muscle ~ Daruma 7|||1|1||||||||||1 1 Hand Walk ~ Quick Muscle ~ Daruma 7
3825||Eloy Azor?n|||||||||||||2 Eloy Azor?n
3826||Yoshio Kosakai|||||||||||||Yoshio Kosakai 0
3827||Alice Roberts|||||||||||||1 Alice Roberts
3828||Hajime Ootani|||||||||||||Hajime Ootani 0
3829||Kevin Brewerton|||||||||||||2 Kevin Brewerton
3830|The Trouble with Laury's Men|||22|7||||1960-03-13||1960-01-01||||The Trouble with Laury's Men 22 7 1960-01-01 1960-03-13
3831|Feeling Tested||After learning she has a say in who replaces Garrett, Mary Jane questions Justin's overtures toward her; Kara helps Orlando in his transition from athlete to broadcaster.|20|4||||2017-09-19||2017-01-01||||Feeling Tested After learning she has a say in who replaces Garrett, Mary Jane questions Justin's overtures toward her; Kara helps Orlando in his transition from athlete to broadcaster. 2017-09-19 20 2017-01-01 4
3832|Episode 3|||3|3||||2019-05-18||2019-01-01||||2019-05-18 Episode 3 2019-01-01 3 3
3833||John M. Jackson|||||||||||||John M. Jackson 2
3834|Episode 1||Freddie and Stuart are hosting a wake to mark the passing of an old friend. As they are joined by their small circle of elderly chums, the couple manage to create a toe-curlingly awkward evening with very little food but plenty of bitchy insults. Their new young upstairs neighbour Ash - whose sexuality becomes a point of great debate - spends the evening attempting to be the perfect guest, while fending off the advances of Freddie and Stuart's best friend Violet.|1|1||||2013-04-29||2013-01-01||||1 1 2013-01-01 Freddie and Stuart are hosting a wake to mark the passing of an old friend. As they are joined by their small circle of elderly chums, the couple manage to create a toe-curlingly awkward evening with very little food but plenty of bitchy insults. Their new young upstairs neighbour Ash - whose sexuality becomes a point of great debate - spends the evening attempting to be the perfect guest, while fending off the advances of Freddie and Stuart's best friend Violet. Episode 1 2013-04-29
3835|Tambu|||13|1||||1962-05-15||1962-01-01||||1962-01-01 13 1 Tambu 1962-05-15
3836|Oliver Cromwell||'Join Mark Steel as he charts Cromwell’s course through Britishhistory; his election and resignation from parliament, the formationof his New Model Army, the overthrow and subsequent execution of theKing, Charles I, the monumental shift of power from monarchy toparliament, the abolition of the House of Lords right through to themassacre at Drogheda. Oh, and the introduction of the first everpineapple to Britain.|1|3||||2006-02-23||2006-01-01||||1 'Join Mark Steel as he charts Cromwell’s course through Britishhistory; his election and resignation from parliament, the formationof his New Model Army, the overthrow and subsequent execution of theKing, Charles I, the monumental shift of power from monarchy toparliament, the abolition of the House of Lords right through to themassacre at Drogheda. Oh, and the introduction of the first everpineapple to Britain. 2006-02-23 2006-01-01 Oliver Cromwell 3
3837||Bob Bridges|||||||||||||Bob Bridges 0
3838|Episode 36|||36|1||||2003-03-11||2003-01-01||||Episode 36 1 2003-03-11 2003-01-01 36
3839||Mark White|||||||||||||Mark White 2
3840|Adventures of Mowgli: Akela's Last Hunt||Episode 3. Mowgli has grown and in order that he might take his place in the pack he needed to arm themselves. Kaa helped Mowgli find the Iron Tooth in the abandoned cave.  It happened just in time because the old enemy tiger Shere Khan raised havoc in the pack was going to overthrow Akela leader of the wolf.||||||1969-01-01||1969-01-01|20|Adventure||Episode 3. Mowgli has grown and in order that he might take his place in the pack he needed to arm themselves. Kaa helped Mowgli find the Iron Tooth in the abandoned cave.  It happened just in time because the old enemy tiger Shere Khan raised havoc in the pack was going to overthrow Akela leader of the wolf. P?????? ??????. ????????? ????? ????? Adventure 1969-01-01  Animation 0 Russia, Soviet Union Adventures of Mowgli: Akela's Last Hunt ru 0 20 Released 1969-01-01  Family
3841||Peter Jones|||||||||||||Peter Jones 0
3842||Henry van Lyck|||||||||||||Henry van Lyck 2
3843||Vladimir Ilin|||||||||||||Vladimir Ilin 2
3844||Kamalakara Kameshwara Rao|||||||||||||Kamalakara Kameshwara Rao 2 Directing
3845||Don Tomich|||||||||||||Don Tomich 0
3846||Mario Pardo|||||||||||||Mario Pardo 0
3847||Shin Oonuma|||||||||||||Shin Oonuma 2
3848|Episode 2|||2|1||||2010-04-09||2010-01-01||||2010-04-09 2 1 Episode 2 2010-01-01
3849|Episode 7||The team investigate the murder of a man whose body is discovered shortly after he is reported missing by his son is discovered. Rachel's self-destructive behavior leads to a falling-out with Janet, and forces Sean to realize that his marriage is over.|7|3||||2013-05-22||2013-01-01||||The team investigate the murder of a man whose body is discovered shortly after he is reported missing by his son is discovered. Rachel's self-destructive behavior leads to a falling-out with Janet, and forces Sean to realize that his marriage is over. 2013-01-01 7 2013-05-22 3 Episode 7
3850||Bad Hersfelder Festspiele|||||||||||||Bad Hersfelder Festspiele productionCompany
3851|Animal Control Specialist||Mike goes to Southern California to handle skunks and other pests as an animal control specialist.|1|6||||2010-01-05||2010-01-01||||2010-01-05 1 2010-01-01 6 Animal Control Specialist Mike goes to Southern California to handle skunks and other pests as an animal control specialist.
3852||Juan Soffici|||||||||||||0 Juan Soffici
3853||Amanda Overton|||||||||||||Amanda Overton 0
3854|Mask of Evidence|||4|7||||1959-10-11||1959-01-01||||7 Mask of Evidence 1959-01-01 4 1959-10-11
3855||Yukihiro Miyamoto|||||||||||||Directing Yukihiro Miyamoto 0
3856|Episode 4||Having witnessed her father Joe being arrested for the murder of her mother Eunice, Helen shows up at Janet’s door saying that she believes her brother Michael might be buried in the cellar of the family home. Ater the remains of a second body are discovered, the case becomes much more serious and Det. Supt. Dodson is drafted in as the S.I.O, with Gill as her deputy.|4|3||||2013-04-24||2013-01-01||||Episode 4 Having witnessed her father Joe being arrested for the murder of her mother Eunice, Helen shows up at Janet’s door saying that she believes her brother Michael might be buried in the cellar of the family home. Ater the remains of a second body are discovered, the case becomes much more serious and Det. Supt. Dodson is drafted in as the S.I.O, with Gill as her deputy. 2013-01-01 2013-04-24 4 3
3857|Episode 9|||9|1||||2016-12-13||2016-01-01||||1 2016-12-13 9 Episode 9 2016-01-01
3858||Joe Ahearne|||||||||||||Joe Ahearne Directing
3859|The Benadryl Brownie||Nearly five years after the rest of the world, Larry discovers cell phones. Using his new toy, he calls Cheryl and asks her to tell Randy, the chef at Larry's new restaurant, to omit peanuts from the dinner that night because Richard Lewis's girlfriend Deborah is allergic to them. But bad phone reception prevents Cheryl from hearing the message, and Deborah gets sick. A practicing Christian Scientist, Deborah refuses to take medicine to clear up the hives on her face. Richard will not be seen with her at the Emmy Awards that night, so he and Larry concoct a plan to bake a batch of Benadryl-laced brownies for Deborah to eat. The ruse fails, and that night on national TV, the Davids see Joan Rivers lambasting Richard and his none-too-attractive date on the red carpet.|2|3||||2002-09-22||2002-01-01||||2 2002-01-01 The Benadryl Brownie Nearly five years after the rest of the world, Larry discovers cell phones. Using his new toy, he calls Cheryl and asks her to tell Randy, the chef at Larry's new restaurant, to omit peanuts from the dinner that night because Richard Lewis's girlfriend Deborah is allergic to them. But bad phone reception prevents Cheryl from hearing the message, and Deborah gets sick. A practicing Christian Scientist, Deborah refuses to take medicine to clear up the hives on her face. Richard will not be seen with her at the Emmy Awards that night, so he and Larry concoct a plan to bake a batch of Benadryl-laced brownies for Deborah to eat. The ruse fails, and that night on national TV, the Davids see Joan Rivers lambasting Richard and his none-too-attractive date on the red carpet. 3 2002-09-22
3860||Goki Nakamura|||||||||||||Goki Nakamura 0
3861||L?szl? Benedek|||||||||||||L?szl? Benedek 2 Directing
